text,intent
I need to send an email to maria about meeting.,email_send
I need to what is our company's expense policy.,knowledge_query
can you how does per4mance review work?,knowledge_query
Please look up information about report,web_search
i want tu search for deadline.!!,web_search
Find information about presentation?,web_search
Can you how do i submit expenses?,knowledge_query
i want 2 whag's new.,general_chat
Could you HOW is everything?,general_chat
i wang to write an email to sarah bout review.,email_send
i need to searxh onlkne 4 weagher 4ecast.,web_search
Please plan a meeting with manager on today at 3pm.,calendar_schedule
Can you add a meeting with team to my calendar for next week?,calendar_schedule
Tell me something interesting,general_chat
"hello, add a meeting with direc2r 2 my calendar fr friday",calendar_schedule
What's up,general_chat
Could you compose an email to david concerning budget?,email_send
Compose an emaik to Emily concerning review!,email_send
plz BOOK A MEETING WITH BOARD at 4pm!,calendar_schedule
look so UP INFORMATION about meeting,web_search
Could you find me details abouy conferemce?,web_search
Can you explain the parental policy?,knowledge_query
"Hello, can you semd an emaul to mike abiut deadline",email_send
Could you well can you schedule a meeting with director foe next month?,calendar_schedule
"Helll, what's up",general_chat
hiw's ur dsy going!,general_chat
"Hey, draft an email to maria about report...",email_send
wluld YOU mind CAN you explain VACATION policy?,knowledge_query
Please tell me how travel request works.,knowledge_query
could you i need information about prntal?,knowledge_query
How do you feel today!,general_chat
I NEED to how ARE you doing TODAY.,general_chat
i WANT 2 look up information ABOUT BUDGET.??,web_search
How is everything.,general_chat
What's happenung!,general_chat
Send an email to Mike about workshop?,email_send
Please book a meeting with group at 3:15pm.,calendar_schedule
"I need to i need TO schedule a meeting WITH committee ON NEXT WEEK,",calendar_schedule
Could you schedule a meeting with team on next month at 2:30pm,calendar_schedule
tell me actually something interesting.,general_chat
can YOU HOW'S IT GOING?,general_chat
Would you mind i nded to schedule a meeting with committee on tuesday?,calendar_schedule
"hello, WHAT'S up",general_chat
How afe you.,general_chat
I NEED TO what's up,general_chat
Look up information about project,web_search
send AN email to alex ABOUT workshop!,email_send
"Hey, send a message to lisa via email about report",email_send
I want to swnd an email to Maria regarding report?,email_send
"Hello, find actually infoemation about meeting",web_search
"Hey, can you send an email to tom about review",email_send
"Hey, search the web fof projecr",web_search
I want to how does project approval work.,knowledge_query
I need to what's new!!,general_chat
I nedd to how's yout day going,general_chat
Csn you explain SICK policy?,knowledge_query
"Hey, what are the guidelines for project",knowledge_query
Tell me something interesting!,general_chat
Could you what's the weather likw in london?,web_search
Can you create a calendar event with manager on friday?,calendar_schedule
I need to schedule a meeting with team on like today?...,calendar_schedule
woupd YA mind HOW DO ya ferl today?,general_chat
Can you send an email to Alex about project!??,email_send
"Hey, what is our company's travel policy",knowledge_query
Can ylu send an email to Lisa about presentation.,email_send
I need to email jessica regarding project.,email_send
Tell me about company sick.,knowledge_query
Csn you SCHEDULE A mweting WITH manager FOR thursday!,calendar_schedule
"Hey, how's your day um going...",general_chat
I need TO well what's up.,general_chat
I want to find me details about conference.??,web_search
How are YOU!,general_chat
Can you explain leave polkcy?,knowledge_query
"Hello, how do YOU feel TODAY!!",general_chat
I want to hiw do ylu feel todzy.,general_chat
would you mind i need tu schedule uh a meeting wirh manager on tuesday!,calendar_schedule
cab you how's ur day going?,general_chat
Could you pleqse book a meeting wigh partnefs at 3:15pm?,calendar_schedule
Look up information abour rwview?...,web_search
I need to what is our company's attendance policy.,knowledge_query
"hey, seatch fr meeting online",web_search
Please tell me about company parental.,knowledge_query
"hello, LOOK UP INFORMSTION about presengation",web_search
"Hello, what is our company's remote work policy",knowledge_query
How's it goibg?..,general_chat
Please tell me how time off works.,knowledge_query
I need to i want to send an email to jessica regarding meeting.,email_send
I wznt to how does PROJECT APPROVQL WORK.,knowledge_query
What's the weathef LIKE in New york,web_search
"Heolo, HOW DO you FEEL today,,,",general_chat
I wqnt to SEARCH for PROJECT?,web_search
I need to explain the leave policy.,knowledge_query
Can you can you explain attendance policy?,knowledge_query
"Hey, what's new",general_chat
How does hiring work!,knowledge_query
I want to write an email to mike about deadline.,email_send
i need to email lisa abt workshop!,email_send
what's da process for promotion.,knowledge_query
Set up a meeting with colleagues at 4pm!,calendar_schedule
Can you how are you,general_chat
look up information bout well conference?,web_search
How do you feel tpday,general_chat
Can you what's new?,general_chat
I need to send an email to lisa about review.,email_send
Can you schedule a meeting with partners for Thursday.,calendar_schedule
would ya mind i want to send an email to jessica regarding workshop?,email_send
"Hello, draft an email to jessica right about report",email_send
can ya how's it right going?,general_chat
I need to what is our company's expense policy.,knowledge_query
How do you fwel today???,general_chat
Could you email john regarding training?,email_send
Please look up hotel deals on the web,web_search
I want to how do i schedule a meeting.,knowledge_query
Set up a meeting with stakeholders at 4pm...,calendar_schedule
Cab you find me details you know about deadline?!!,web_search
Can you how is everything,general_chat
"Hey, how do i submit expenses",knowledge_query
"Hey, what's new",general_chat
I need to explain the benefits policy.,knowledge_query
Can you like can you schedule a meeting with group for next week?,calendar_schedule
How's it going.,general_chat
I want to send an email to mike about review.,email_send
how r you?,general_chat
Can you find hotel deals actually online.,web_search
"hey, search fr workshop online",web_search
